./data_files/66°30.xls: 14031L0
   acronym  code  concentration
10    ADDI    17         0.0050
12    CGRA    15         0.0800
13    CGRA   556         0.0500
14    HUIL    18         0.0300
15    HUIL    13         0.1000
17    HUME     9         0.0200
18    CONS    54         0.0100
20     EAU     3         0.0500
21    ACTI     4         0.0100
22    ACTI    73         0.0100
24     SOL     9         0.0008
25     SOL    24         0.0001
26    PARF   409         0.0010

./data_files/14100 à 14300.xls: 14149L1
   acronym  code  concentration
3      EAU     4         0.7528
4     ADDI    27         0.0800
5     ADDI    10         0.0200
6     ACTI   270         0.0040
8     GELI    75         0.0400
10    HUME     9         0.0200
11    CONS    54         0.0100
12    PARF   409         0.0010
14     EAU     3         0.0500
15    ACTI     4         0.0100
16    ACTI   490         0.0010
17    ACTI    73         0.0100
19     SOL     9         0.0008
20     SOL    24         0.0004

./data_files/14100 à 14300.xls: 14149L2
   acronym  code  concentration
3      EAU     4         0.7533
4     ADDI    27         0.0800
5     ADDI    10         0.0200
6     ACTI   270         0.0040
8     GELI    75         0.0400
10    HUME     9         0.0200
11    CONS    54         0.0100
12    PARF   409         0.0005
14     EAU     3         0.0500
15    ACTI     4         0.0100
16    ACTI   490         0.0010
17    ACTI    73         0.0100
19     SOL     9         0.0008
20     SOL    24         0.0004

./data_files/14100 à 14300.xls: 14150L0
   acronym  code  concentration
3      EAU     8        0.69055
4     ADDI     3        0.00100
5     GELI    55        0.01250
7     ADDI    98        0.00375
9     GELI    32        0.00300
10    GELI    21        0.00600
12    MOUS    50        0.10000
13    ADDI     2        0.01000
14    MOUS    12        0.03000
15    ACTI    87        0.00670
16    MOUS    29        0.08000
18    HUME    16        0.01000
19    CONS    37        0.00200
21    PARF   302        0.00250
22    CONS    64        0.00400
23    MOUS    37        0.01600
24    FSOL    17        0.00100
26    ACTI   847        0.01500
27    ACTI    78        0.00500
28    ACTI    73        0.00050
29    ACTI   533        0.00050

./data_files/14100 à 14300.xls: 14150L1
   acronym  code  concentration
3     MOUS    50         0.1000
4     ADDI     2         0.0100
5     MOUS    12         0.0300
6     ACTI    87         0.0067
7     MOUS    29         0.0800
9      EAU     8         0.6753
10    ADDI     3         0.0010
11    GELI    68         0.0150
13    ADDI    98         0.0045
15    HUME    16         0.0100
16    CONS    37         0.0020
18    GELI    21         0.0060
20    ACTI    78         0.0050
21    ACTI   223         0.0100
23    PARF   302         0.0025
24    CONS    64         0.0040
25    MOUS    37         0.0160
26    FSOL    17         0.0010
27     EAU     8         0.0200
29    ACTI    73         0.0005
30    ACTI   533         0.0005

./data_files/14100 à 14300.xls: 14150L2
   acronym  code  concentration
3      EAU     8         0.6988
4     ADDI     3         0.0010
