acronym,code,concentration
ACTI,490,0.01
ACTI,858,0.02
SOL,9,0.0001
SOL,24,0.0003
PARF,102,0.001
EAU,4,0.6035999999999999
ACTI,270,0.003
GELI,17,0.005
HUME,2,0.05
ADDI,3,0.0005
CGRA,6,0.02
EMUL,3,0.05
HUIL,18,0.02
CGRA,1,0.01
ABC,120,0.02
HUIL,36,0.03
HUIL,174,0.03
HUIL,4,0.02
SILI,7,0.02
ADDI,98,0.0015
HUME,16,0.01
CONS,37,0.003
CONS,23,0.001
EAU,4,0.05
ACTI,4,0.02
ACTI,73,0.001
ACTI,490,0.01
ACTI,858,0.02
SOL,9,0.0001
SOL,24,0.0003
PARF,102,0.001
EAU,4,0.627
ACTI,270,0.003
GELI,17,0.003
HUME,2,0.05
ADDI,3,0.0005
EMUL,3,0.05
HUIL,18,0.02
CGRA,1,0.01
ABC,120,0.02
HUIL,36,0.03
HUIL,174,0.03
HUIL,4,0.02
SILI,7,0.02
ADDI,98,0.0006
HUME,16,0.01
CONS,37,0.003
CONS,23,0.001
EAU,4,0.05
ACTI,4,0.02
ACTI,73,0.001
ACTI,490,0.01
ACTI,858,0.02
SOL,9,0.0001
SOL,24,0.0003
PARF,102,0.0005
EAU,8,0.81537
ADDI,3,0.0005
FSOL,6,0.0005
HUME,2,0.02
GELI,80,0.02
MOUS,9,0.02
PARF,102,0.0005
CONS,37,0.003
HUME,16,0.02
CONS,23,0.001
EAU,3,0.05
ACTI,73,0.001
ACTI,4,0.005
ACTI,490,0.001
ACTI,503,0.04
SOL,24,0.0015
SOL,9,0.0005
ADDI,98,0.00013
EAU,8,0.81537
ADDI,3,0.0005
FSOL,6,0.0005
HUME,2,0.02
GELI,80,0.02
MOUS,9,0.02
PARF,102,0.0002
CONS,37,0.003
HUME,16,0.02
CONS,23,0.001
EAU,3,0.05
ACTI,73,0.001
ACTI,4,0.005
ACTI,490,0.001
ACTI,503,0.04
SOL,24,0.0015
SOL,9,0.0005
ADDI,98,0.00013
EAU,7,0.808025
GELI,17,0.003
ADDI,3,0.0005
HUME,2,0.05
ADDI,98,0.0008
EAU,7,0.05
ACTI,31,0.0001
ACTI,834,0.02
ACTI,816,7.5e-05
MOUS,9,0.01
ABC,179,0.0005
HUME,17,0.04
HUME,16,0.01
CONS,23,0.001
CONS,37,0.003
CONS,56,0.003
EAU,7,0.839025
GELI,17,0.003
ADDI,3,0.0005
HUME,2,0.05
ADDI,98,0.0008
EAU,7,0.05
ACTI,31,0.0001
ACTI,834,0.02
ACTI,816,7.5e-05
MOUS,9,0.01
ABC,179,0.0005
HUME,16,0.02
CONS,23,0.001
CONS,37,0.003
CONS,64,0.002
EAU,3,0.6391
ADDI,3,0.0005
GELI,17,0.005
HUME,2,0.03
HUME,23,0.03
ACTI,878,0.005
ADDI,98,0.001
GELI,15,0.015
SILI,48,0.025
SILI,23,0.02
SILI,7,0.05
HUME,16,0.02
CONS,37,0.003
CONS,23,0.001
EAU,3,0.0099
ACTI,31,0.0005
ACTI,662,0.02
ACTI,800,0.03
ACTI,412,0.03
ACTI,488,0.01
ACTI,175,0.01
ACTI,659,0.04
ACTI,739,0.0025
ACTI,481,0.0025
EAU,4,0.58951
